Module,Area_km2,S__number,S__minimum,S__maximum,S__range,S__average,S__stddev,S__varianc,S__varia_1,S__varia_2,S__varia_3,S__varia_4,S__varia_5,S__varia_6,S__varia_7,S__varia_8,S__varia_9,S__varia10,S__varia11,S__varia12,S__varia13,S__varia14,S__varia15,S__varia16,S__varia17,S__varia18,S__varia19,S__varia20,S__varia21,S__varia22,S__varia23,S__varia24,S__varia25,S__varia26,S__varia27,S__varia28,S__varia29,S__varia30,S__varia31,S__varia32,S__varia33,S__varia34,S__varia35,S__varia36,S__varia37,S__varia38,S__varia39,S__varia40,S__varia41,S__varia42,S__varia43,S__varia44,S__varia45,S__varia46,S__varia47,S__varia48,S__varia49,S__varia50,S__varia51,S__varia52,S__varia53,S_count,S_sum,S_mean,S_median,S_stdev,S_min,S_max,S_range,S_minority,S_majority,S_variety,S_variance
"22",77.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86043,8646.22167136265,0.100487217686072,0.0803569056668276,0.0640666845243534,-0.0322524057494534,0.504299573733288,0.536551979482741,-0.0322524057494534,-0.0322524057494534,86043,0.00410454006594303
"21",87.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96667,8883.3460055202,0.0918963659317058,0.0807051261527694,0.050837406519577,-0.0354079904945027,0.450435324982675,0.485843315477178,-0.0354079904945027,-0.0354079904945027,96667,0.00258444190163673
"2",80.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90005,11443.3955995481,0.127141776562948,0.0953899404790473,0.0892615410453972,-0.00142046978541946,0.550488777577379,0.551909247362798,-0.00142046978541946,-0.00142046978541946,90005,0.00796762270979913
"3",148.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165033,16697.8468261025,0.101178835906167,0.0756410721931941,0.0689509337191273,-0.0472116364020465,0.507793924987458,0.555005561389504,-0.0472116364020465,-0.0472116364020465,165033,0.00475423126073948
"1",153.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157689,17575.5081494109,0.111456779797011,0.074157466117337,0.0838887382975313,-0.0250216994863247,0.492944154192558,0.517965853678883,-0.0250216994863247,-0.0250216994863247,157689,0.00703732041315169
"7",135.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150180,16168.0540759844,0.107657837767908,0.0717086382341027,0.0829596355034677,-0.0362754532307486,0.449351046503719,0.485626499734467,-0.0362754532307486,-0.0362754532307486,150180,0.00688230112286822
"5",124.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138275,14790.3814224418,0.106963525022179,0.07025615965034,0.081639698615203,-0.0528369036062003,0.462647377274929,0.515484280881129,-0.0528369036062003,-0.0528369036062003,138275,0.00666504038998118
"6",76.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85239,10442.8211873558,0.122512244246833,0.0888826338967829,0.0874136117048661,-0.00983784499194815,0.466110360314213,0.475948205306161,-0.00983784499194815,-0.00983784499194815,85239,0.0076411395112891
"4",186.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207433,24183.21932379,0.116583279052947,0.0769181897959105,0.0904558765668734,-0.0800837657326315,0.513049383666629,0.59313314939926,-0.0800837657326315,-0.0800837657326315,207433,0.00818226560548144
"8",130.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145087,15534.7791141978,0.107072164385491,0.0817478266949065,0.0772156691984054,-0.0103517383302238,0.503779307659351,0.514131045989575,-0.0103517383302238,-0.0103517383302238,145087,0.00596225956975757
"16",216.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240854,22589.4944957164,0.0937891606355566,0.0693614990697156,0.0686854739402992,-0.131615418362967,0.497849841872124,0.629465260235091,-0.131615418362967,-0.131615418362967,240854,0.00471769433040352
"15",212.860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236469,23723.0896321855,0.100322197125989,0.0715538389862514,0.0797015763024606,-0.0793501813086463,0.500468339006201,0.579818520314847,-0.0793501813086463,-0.0793501813086463,236469,0.00635234126509695
"14",113.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125586,12667.6595016154,0.100868404930608,0.0786432989447542,0.0693268755134539,-0.0946174259457628,0.484261178573291,0.578878604519053,-0.0946174259457628,-0.0946174259457628,125586,0.00480621566845794
9a,97.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108060,14264.125140206,0.13200189839169,0.102560001435264,0.0872315003088383,-0.030401259966736,0.468488276653848,0.498889536620584,-0.030401259966736,-0.030401259966736,108060,0.00760933464613085
9b,106.350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118198,14415.5260753525,0.121960829077924,0.0938356437000795,0.0810565636774064,-0.0217466155258103,0.504069311529069,0.52581592705488,-0.0217466155258103,-0.0217466155258103,118198,0.00657016651518943
"10",182.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202279,23677.3168574221,0.117052767995799,0.0895075303429446,0.0799300248165752,-0.0209835705301643,0.505258950847631,0.526242521377795,-0.0209835705301643,-0.0209835705301643,202279,0.00638880886717832
"11",106.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117876,11076.1647218112,0.093964545130571,0.0695037857062169,0.0752007174488193,-0.0923428755849858,0.491502820921224,0.583845696506209,-0.0923428755849858,-0.0923428755849858,117876,0.00565514790481715
"12",122.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136510,13180.5016539993,0.0965533781700923,0.0731057915895826,0.0731031048288881,-0.138323848362795,0.50573719952002,0.644061047882815,-0.138323848362795,-0.138323848362795,136510,0.00534406393562341
"17",146.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163042,17675.0281815012,0.108407822410797,0.0812667992263885,0.0763117671650324,-0.127810107365212,0.46781472669559,0.595624834060802,-0.127810107365212,-0.127810107365212,163042,0.00582348580785012
"18",120.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133743,10842.6313615574,0.0810706456529121,0.0630294422372991,0.0583997442340196,-0.0408115464152476,0.503125634860902,0.543937181276149,-0.0408115464152476,-0.0408115464152476,133743,0.00341053012659891
"20",118.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131597,8984.79266154736,0.0682750568899546,0.0491530968293234,0.0645622779931615,-0.150727726965392,0.510239922101696,0.660967649067088,-0.150727726965392,-0.150727726965392,131597,0.00416828773966627
"19",128.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142392,12214.4913825625,0.0857807417731506,0.0574838299685778,0.0772922252443977,-0.0567253297218359,0.490583178384661,0.547308508106497,-0.0567253297218359,-0.0567253297218359,142392,0.00597408808323071
