Module,Area_km2,S__number,S__minimum,S__maximum,S__range,S__average,S__stddev,S__varianc,S__varia_1,S__varia_2,S__varia_3,S__varia_4,S__varia_5,S__varia_6,S__varia_7,S__varia_8,S__varia_9,S__varia10,S__varia11,S__varia12,S__varia13,S__varia14,S__varia15,S__varia16,S__varia17,S__varia18,S__varia19,S__varia20,S__varia21,S__varia22,S__varia23,S__varia24,S__varia25,S__varia26,S__varia27,S__varia28,S__varia29,S__varia30,S__varia31,S__varia32,S__varia33,S__varia34,S__varia35,S__varia36,S__varia37,S__varia38,S__varia39,S__varia40,S__varia41,S__varia42,S__varia43,S__varia44,S__varia45,S__varia46,S__varia47,S__varia48,S__varia49,S__varia50,S__varia51,S__varia52,S__varia53,S_count,S_sum,S_mean,S_median,S_stdev,S_min,S_max,S_range,S_minority,S_majority,S_variety,S_variance
"22",77.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86043,11010.2095433419,0.127961711508687,0.110610281653228,0.0807898062151653,-0.0593142941566489,0.538851732781736,0.598166026938385,-0.0593142941566489,-0.0593142941566489,86043,0.00652699278828397
"21",87.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96667,11217.8043095648,0.116045851320149,0.104737478696101,0.0687156778074462,-0.0254373613867183,0.515648689764403,0.541086051151121,-0.0254373613867183,-0.0254373613867183,96667,0.00472184437653676
"2",80.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90005,14189.0751759038,0.157647632641563,0.113920618974139,0.120796794944811,-0.0304095104029413,0.555398036697105,0.585807547100046,-0.0304095104029413,-0.0304095104029413,90005,0.0145918656689388
"3",148.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165033,20460.8985184458,0.123980649436451,0.084317054725047,0.103096857562813,-0.10011431758084,0.560390520829051,0.660504838409891,-0.10011431758084,-0.10011431758084,165033,0.0106289620393268
"1",153.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157689,24803.683709696,0.157294952150727,0.106261224038169,0.122816948174362,-0.0929030738536685,0.585174097519736,0.678077171373405,-0.0929030738536685,-0.0929030738536685,157689,0.0150840027588639
"7",135.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150180,28402.2290179178,0.189121247955239,0.134709541513354,0.136623875547792,-0.0487387228810557,0.573573621836681,0.622312344717736,-0.0487387228810557,-0.0487387228810557,150180,0.0186660833696986
"5",124.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138275,25534.6423023551,0.184665646735528,0.131869959245106,0.135050010921042,-0.0554902113445099,0.592971577556565,0.648461788901075,-0.0554902113445099,-0.0554902113445099,138275,0.0182385054497735
"6",76.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85239,15885.2962666679,0.186361832807376,0.138919658285999,0.130259110801425,-0.0334049778984084,0.587859956583796,0.621264934482204,-0.0334049778984084,-0.0334049778984084,85239,0.016967435946778
"4",186.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207433,34029.6637683164,0.164051350403824,0.113686294516265,0.125505837862712,-0.0331230652395023,0.550667411096098,0.583790476335601,-0.0331230652395023,-0.0331230652395023,207433,0.0157517153376213
"8",130.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145087,20122.0385502223,0.138689465977119,0.107175971196218,0.100992949218427,-0.0442423605996273,0.589848729889228,0.634091090488855,-0.0442423605996273,-0.0442423605996273,145087,0.0101995757918357
"16",216.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240854,32486.0499777177,0.134878598560612,0.0885833092772604,0.113368237076814,-0.403476582829228,0.563278598527446,0.966755181356674,-0.403476582829228,-0.403476582829228,240854,0.0128523571779048
