Module,Area_km2,S__number,S__minimum,S__maximum,S__range,S__average,S__stddev,S__varianc,S__varia_1,S__varia_2,S__varia_3,S__varia_4,S__varia_5,S__varia_6,S__varia_7,S__varia_8,S__varia_9,S__varia10,S__varia11,S__varia12,S__varia13,S__varia14,S__varia15,S__varia16,S__varia17,S__varia18,S__varia19,S__varia20,S__varia21,S__varia22,S__varia23,S__varia24,S__varia25,S__varia26,S__varia27,S__varia28,S__varia29,S__varia30,S__varia31,S__varia32,S__varia33,S__varia34,S__varia35,S__varia36,S__varia37,S__varia38,S__varia39,S__varia40,S__varia41,S__varia42,S__varia43,S__varia44,S__varia45,S__varia46,S__varia47,S__varia48,S__varia49,S__varia50,S__varia51,S__varia52,S__varia53,S_count,S_sum,S_mean,S_median,S_stdev,S_min,S_max,S_range,S_minority,S_majority,S_variety,S_variance
"22",77.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86043,12198.109871767,0.141767603079472,0.125523965725368,0.077738279492744,-0.0360872087035252,0.55481403589635,0.590901244599875,-0.0360872087035252,-0.0360872087035252,86043,0.00604324009849198
"21",87.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96667,11905.6922336458,0.123161908755271,0.116053431130566,0.0636901023770219,-0.0498289446011411,0.517964783740701,0.567793728341842,-0.0498289446011411,-0.0498289446011411,96667,0.00405642914079554
"2",80.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90005,14006.1798337174,0.155615575064912,0.119006821970845,0.111403686475869,-0.071731899639407,0.561338715027831,0.633070614667238,-0.071731899639407,-0.071731899639407,90005,0.0124107813604137
"3",148.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165033,18966.2593001068,0.114924041253003,0.082064421999972,0.08951120493108,-0.0926369857087893,0.521755892144342,0.614392877853131,-0.0926369857087893,-0.0926369857087893,165033,0.0080122558082138
"1",153.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157689,23700.396484824,0.150298349820368,0.108212733299419,0.112200762877635,-0.0488089350994924,0.580677710554874,0.629486645654367,-0.0488089350994924,-0.0488089350994924,157689,0.0125890111903233
"7",135.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150180,26806.5670353053,0.178496251400355,0.130604867179188,0.125156831435137,-0.0418118592804526,0.560874012978686,0.602685872259138,-0.0418118592804526,-0.0418118592804526,150180,0.0156642324548833
"5",124.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138275,25667.5022013006,0.185626484912678,0.140362635565645,0.128927552295343,-0.0406103814652888,0.566601627091041,0.60721200855633,-0.0406103814652888,-0.0406103814652888,138275,0.0166223137408683
"6",76.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85239,15952.9845264756,0.187155932454341,0.144513684624171,0.123672708835987,-0.0323438231993006,0.519055199096609,0.55139902229591,-0.0323438231993006,-0.0323438231993006,85239,0.0152949389108309
"4",186.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207433,33867.5075024637,0.163269622010306,0.117767058060617,0.117642521484618,-0.0349180451404621,0.592325403065117,0.62724344820558,-0.0349180451404621,-0.0349180451404621,207433,0.0138397628612588
"8",130.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145087,19051.7788943775,0.131312790907369,0.111556604546024,0.0810526346736761,-0.00761986853551594,0.501813813741582,0.509433682277098,-0.00761986853551594,-0.00761986853551594,145087,0.0065695295875444
"16",216.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240854,33032.1927456538,0.137146124812765,0.0932066812229995,0.109591201595973,-0.361693772231721,0.576772232271957,0.938466004503678,-0.361693772231721,-0.361693772231721,240854,0.0120102314672492
"15",212.860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236469,31111.8325257074,0.131568334647279,0.0965354097662352,0.103774165206755,-0.131497329155903,0.541584452663543,0.673081781819446,-0.131497329155903,-0.131497329155903,236469,0.0107690773643589
"14",113.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125586,23082.1360234874,0.183795455094417,0.136736313628002,0.127069985149951,-0.118736436885672,0.600650512734736,0.719386949620408,-0.118736436885672,-0.118736436885672,125586,0.0161467811260088
9a,97.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108060,16462.8406874905,0.152349071696192,0.123095305414501,0.0952587665676623,-0.0164021206095842,0.496636548224253,0.513038668833838,-0.0164021206095842,-0.0164021206095842,108060,0.00907423260799238
9b,106.350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118198,17401.536778232,0.147223614428603,0.11214508616353,0.100983695767969,-0.0299745890257222,0.524695797379712,0.554670386405435,-0.0299745890257222,-0.0299745890257222,118198,0.0101977068109577
"10",182.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202279,26959.4580906924,0.133278581022708,0.109328071958472,0.0862077936539055,-0.0638532232151081,0.507808951797981,0.571662175013089,-0.0638532232151081,-0.0638532232151081,202279,0.00743178368667435
"11",106.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117876,17312.6439431521,0.146871661263973,0.106105570024035,0.110997995426482,-0.00216272617446078,0.52535832212754,0.527521048302001,-0.00216272617446078,-0.00216272617446078,117876,0.0123205549886973
"12",122.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136510,12982.1266992947,0.0951001882594293,0.0757531368712126,0.0680287133586742,0.00391210588556418,0.499462542298931,0.495550436413366,0.00391210588556418,0.00391210588556418,136510,0.00462790584123666
"17",146.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163042,24570.5108682802,0.150700499676649,0.120406483847974,0.101547542197464,-0.102822420019547,0.525553400723036,0.628375820742582,-0.102822420019547,-0.102822420019547,163042,0.0103119033263457
"18",120.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133743,14363.5056179988,0.107396316951159,0.0887388239972081,0.0770732167473551,-0.068137785633736,0.509175154056928,0.577312939690664,-0.068137785633736,-0.068137785633736,133743,0.00594028073978477
"20",118.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131597,8780.1360384223,0.0667198799244839,0.0510434519360483,0.0517739866050408,-0.17877416947478,0.523946466844677,0.702720636319457,-0.17877416947478,-0.17877416947478,131597,0.00268054568897895
"19",128.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142392,13548.2661909704,0.0951476641312039,0.0669275617384698,0.0844167172371863,-0.0299226120529509,0.547216078673898,0.577138690726849,-0.0299226120529509,-0.0299226120529509,142392,0.00712618214910307
