Module,Area_km2,S__number,S__minimum,S__maximum,S__range,S__average,S__stddev,S__varianc,S__varia_1,S__varia_2,S__varia_3,S__varia_4,S__varia_5,S__varia_6,S__varia_7,S__varia_8,S__varia_9,S__varia10,S__varia11,S__varia12,S__varia13,S__varia14,S__varia15,S__varia16,S__varia17,S__varia18,S__varia19,S__varia20,S__varia21,S__varia22,S__varia23,S__varia24,S__varia25,S__varia26,S__varia27,S__varia28,S__varia29,S__varia30,S__varia31,S__varia32,S__varia33,S__varia34,S__varia35,S__varia36,S__varia37,S__varia38,S__varia39,S__varia40,S__varia41,S__varia42,S__varia43,S__varia44,S__varia45,S__varia46,S__varia47,S__varia48,S__varia49,S__varia50,S__varia51,S__varia52,S__varia53,S_count,S_sum,S_mean,S_median,S_stdev,S_min,S_max,S_range,S_minority,S_majority,S_variety,S_variance
"22",77.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86043,9814.01918290565,0.114059472390615,0.0862137710177752,0.0866480209321052,-0.0434664456613899,0.509689473872784,0.553155919534174,-0.0434664456613899,-0.0434664456613899,86043,0.00750787953145054
"21",87.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96667,9542.6761603722,0.0987169991866118,0.0819955372871761,0.0697153240634567,-0.142613877205875,0.603409954999924,0.746023832205799,-0.142613877205875,-0.142613877205875,96667,0.00486022640927278
"2",80.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90005,12582.5441129512,0.139798279128395,0.090288973773415,0.116033513699221,-0.0328104017898067,0.530461731274786,0.563272133064593,-0.0328104017898067,-0.0328104017898067,90005,0.0134637763013873
"3",148.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165033,21146.5052989781,0.12813501117339,0.0770370447415062,0.115342240203656,-0.0590787111909788,0.548235584325821,0.6073142955168,-0.0590787111909788,-0.0590787111909788,165033,0.0133038323751979
"1",153.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157689,23262.960612707,0.147524308053872,0.091929864353511,0.122546202883849,-0.0572206502442574,0.527890606937113,0.58511125718137,-0.0572206502442574,-0.0572206502442574,157689,0.0150175718412494
"7",135.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150180,23433.8843003687,0.156038648957043,0.111607859711541,0.116215727089991,-0.0615715820238523,0.519742327543829,0.581313909567681,-0.0615715820238523,-0.0615715820238523,150180,0.0135060952230552
"5",124.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138275,20815.6567789837,0.150538107242696,0.104195988332752,0.116591165789812,-0.067085451676305,0.528413869495362,0.595499321171667,-0.067085451676305,-0.067085451676305,138275,0.0135934999402273
"6",76.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85239,13201.6352918632,0.154877876228759,0.119044220786563,0.112250353460253,-0.0690076343573839,0.509637387459431,0.578645021816814,-0.0690076343573839,-0.0690076343573839,85239,0.0126001418519518
"4",186.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207433,28284.8178255961,0.136356403395777,0.0969433118800196,0.103709405748287,-0.125508979841102,0.512979326868406,0.638488306709508,-0.125508979841102,-0.125508979841102,207433,0.0107556408406628
"8",130.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145087,19415.233789931,0.133817873344483,0.0987168821558532,0.101570226944684,-0.0342117699253431,0.521387562692881,0.555599332618224,-0.0342117699253431,-0.0342117699253431,145087,0.0103165110015946
"16",216.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240854,28278.9150204286,0.117411025021086,0.0802349598874496,0.0971031031679026,-0.119181169116037,0.509056921081377,0.628238090197414,-0.119181169116037,-0.119181169116037,240854,0.00942901264483633
"15",212.860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236469,26447.646276552,0.111844031465232,0.0733416702569869,0.0965159008675408,-0.10363325947451,0.503299185108757,0.606932444583268,-0.10363325947451,-0.10363325947451,236469,0.00931531912027297
