Module,Area_km2,S__number,S__minimum,S__maximum,S__range,S__average,S__stddev,S__varianc,S__varia_1,S__varia_2,S__varia_3,S__varia_4,S__varia_5,S__varia_6,S__varia_7,S__varia_8,S__varia_9,S__varia10,S__varia11,S__varia12,S__varia13,S__varia14,S__varia15,S__varia16,S__varia17,S__varia18,S__varia19,S__varia20,S__varia21,S__varia22,S__varia23,S__varia24,S__varia25,S__varia26,S__varia27,S__varia28,S__varia29,S__varia30,S__varia31,S__varia32,S__varia33,S__varia34,S__varia35,S__varia36,S__varia37,S__varia38,S__varia39,S__varia40,S__varia41,S__varia42,S__varia43,S__varia44,S__varia45,S__varia46,S__varia47,S__varia48,S__varia49,S__varia50,S__varia51,S__varia52,S__varia53,S_count,S_sum,S_mean,S_median,S_stdev,S_min,S_max,S_range,S_minority,S_majority,S_variety,S_variance
"22",77.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86043,12370.8228093884,0.143774889408649,0.124622075397026,0.0879555566053754,-0.0161132000695516,0.544456839067276,0.560570039136828,-0.0161132000695516,-0.0161132000695516,86043,0.0077361799377614
"21",87.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96667,11839.8133308054,0.122480405213831,0.108045686966936,0.0737160329055329,-0.0852762061474853,0.521278102816103,0.606554308963588,-0.0852762061474853,-0.0852762061474853,96667,0.00543405350732961
"2",80.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90005,13041.2729012468,0.144894982514825,0.102850812890676,0.107388013562129,-0.0145492975491823,0.537441422891341,0.551990720440524,-0.0145492975491823,-0.0145492975491823,90005,0.0115321854568201
"3",148.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165033,17287.2545465781,0.104750289618307,0.0811189063509446,0.0763610872213725,-0.0799874957021759,0.516407456781147,0.596394952483322,-0.0799874957021759,-0.0799874957021759,165033,0.00583101564163005
"1",153.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157689,21739.6493673462,0.137864082893202,0.0965663325350354,0.104112530937773,-0.0529367639323104,0.551786257467708,0.604723021400018,-0.0529367639323104,-0.0529367639323104,157689,0.0108394190982688
"7",135.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150180,27381.8813207934,0.182327082972389,0.12424422577017,0.134851756203495,-0.0770882262978455,0.59666691493276,0.673755141230606,-0.0770882262978455,-0.0770882262978455,150180,0.0181849961511668
"5",124.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138275,25723.144408242,0.186028887421747,0.129061778500325,0.133354845212799,-0.0412638803891497,0.543970974870061,0.585234855259211,-0.0412638803891497,-0.0412638803891497,138275,0.0177835147417297
"6",76.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85239,15519.6998865494,0.18207275879057,0.134818894495641,0.123482418789823,-0.0225634917428844,0.557756783713134,0.580320275456019,-0.0225634917428844,-0.0225634917428844,85239,0.0152479077501853
"4",186.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207433,35485.581337562,0.171070086907879,0.119393618690037,0.126995653296753,-0.0850154960808504,0.577177540611448,0.662193036692299,-0.0850154960808504,-0.0850154960808504,207433,0.0161278959562691
"8",130.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145087,19654.1668256298,0.135464699288219,0.109733963124723,0.0895182463093061,-0.0538750357593897,0.537806551799668,0.591681587559057,-0.0538750357593897,-0.0538750357593897,145087,0.00801351642229359
"16",216.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240854,31211.8653161118,0.129588320377124,0.0897201896953924,0.105452649065948,-0.295785990059377,0.54752309747826,0.843309087537637,-0.295785990059377,-0.295785990059377,240854,0.0111202611950259
"15",212.860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236469,30261.2086515622,0.127971144850117,0.090111450628607,0.10419536001919,-0.0636121932925723,0.553339287022376,0.616951480314948,-0.0636121932925723,-0.0636121932925723,236469,0.0108566730495286
"14",113.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125586,23033.628427292,0.183409205064992,0.128729846587042,0.130424916014643,-0.0623225995194647,0.599067509083989,0.661390108603454,-0.0623225995194647,-0.0623225995194647,125586,0.0170106587174268
9a,97.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108060,15943.6280006195,0.147544216181931,0.114360053706753,0.100247938027528,0.00559971591260658,0.52742569021789,0.521825974305283,0.00559971591260658,0.00559971591260658,108060,0.0100496490787712
9b,106.350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118198,18303.2214995178,0.154852209847187,0.110501777903348,0.111905228109511,-0.0395164699243074,0.53073626805998,0.570252737984287,-0.0395164699243074,-0.0395164699243074,118198,0.0125227800782418
"10",182.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202279,26943.7065877496,0.133200710838741,0.102288087288736,0.093781055178171,-0.0481444228212943,0.523108175438842,0.571252598260136,-0.0481444228212943,-0.0481444228212943,202279,0.00879488631033116
"11",106.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117876,8999.24201626402,0.0763449897881165,0.0535094153850616,0.0663101011844403,-0.0533789431812072,0.529638415237629,0.583017358418837,-0.0533789431812072,-0.0533789431812072,117876,0.00439702951909071
"12",122.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136510,10494.4050828961,0.0768764565445468,0.0550727299430919,0.0620027839921953,-0.0053325114314489,0.507037099308276,0.512369610739725,-0.0053325114314489,-0.0053325114314489,136510,0.00384434522278283
"17",146.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163042,24307.8364573521,0.149089415349125,0.112137477632552,0.105906326701568,-0.0761774330108896,0.562769715653904,0.638947148664794,-0.0761774330108896,-0.0761774330108896,163042,0.0112161500354191
"18",120.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133743,13483.8705680764,0.100819262077839,0.0814085029509051,0.0771041536056777,-0.0760672556307996,0.497634922159489,0.573702177790288,-0.0760672556307996,-0.0760672556307996,133743,0.00594505050324794
"20",118.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131597,8359.57458849801,0.0635240513727365,0.0449789041384236,0.0593019536214959,-0.171214843734264,0.531874739959713,0.703089583693976,-0.171214843734264,-0.171214843734264,131597,0.00351672170332605
"19",128.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142392,11646.9939471521,0.0817952830717461,0.0569348762565435,0.068218333003618,-0.0516243924055769,0.455916188198724,0.507540580604301,-0.0516243924055769,-0.0516243924055769,142392,0.00465374095779252
