Module,Area_km2,S__number,S__minimum,S__maximum,S__range,S__average,S__stddev,S__varianc,S__varia_1,S__varia_2,S__varia_3,S__varia_4,S__varia_5,S__varia_6,S__varia_7,S__varia_8,S__varia_9,S__varia10,S__varia11,S__varia12,S__varia13,S__varia14,S__varia15,S__varia16,S__varia17,S__varia18,S__varia19,S__varia20,S__varia21,S__varia22,S__varia23,S__varia24,S__varia25,S__varia26,S__varia27,S__varia28,S__varia29,S__varia30,S__varia31,S__varia32,S__varia33,S__varia34,S__varia35,S__varia36,S__varia37,S__varia38,S__varia39,S__varia40,S__varia41,S__varia42,S__varia43,S__varia44,S__varia45,S__varia46,S__varia47,S__varia48,S__varia49,S__varia50,S__varia51,S__varia52,S__varia53,S_count,S_sum,S_mean,S_median,S_stdev,S_min,S_max,S_range,S_minority,S_majority,S_variety,S_variance
"22",77.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86043,14263.0831192484,0.165766920252065,0.134587876774616,0.0993983114199143,-0.0196440679052208,0.551094762326137,0.570738830231358,-0.0196440679052208,-0.0196440679052208,86043,0.00988002431313026
"21",87.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96667,13716.0453823569,0.141889635370467,0.114181619091681,0.0844825513181819,-0.0468867600372103,0.522537449491095,0.569424209528306,-0.0468867600372103,-0.0468867600372103,96667,0.00713730147722923
"2",80.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90005,13441.6005108293,0.149342819963661,0.114941849244145,0.0956131833642698,-0.110335820143308,0.54260540277398,0.652941222917288,-0.110335820143308,-0.110335820143308,90005,0.00914188083304948
"3",148.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165033,18530.7101393684,0.11228487720255,0.0911385479908258,0.0699593807222113,-0.0177200520136485,0.535624582030795,0.553344634044444,-0.0177200520136485,-0.0177200520136485,165033,0.0048943149510353
"1",153.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157689,19685.2322491026,0.124835798623256,0.0967364431885332,0.0825749353937279,-0.0374117880764971,0.501718465738966,0.539130253815463,-0.0374117880764971,-0.0374117880764971,157689,0.00681861995527834
"7",135.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150180,16288.4313313199,0.108459390939672,0.0749504024794781,0.0817339376171908,-0.0988861731730905,0.500513210446274,0.599399383619365,-0.0988861731730905,-0.0988861731730905,150180,0.00668043655841084
"5",124.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138275,14037.2366600249,0.101516808244621,0.0740675973860014,0.0703900585564228,-0.0976077874846555,0.512249510613412,0.609857298098068,-0.0976077874846555,-0.0976077874846555,138275,0.00495476034357663
"6",76.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85239,11585.5397422793,0.135918297285038,0.102437338118549,0.0912454142522024,-0.0254402750084517,0.526981304235622,0.552421579244074,-0.0254402750084517,-0.0254402750084517,85239,0.00832572562205602
"4",186.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207433,25807.6399251962,0.124414340655519,0.0884688697607702,0.0911323169328253,-0.0418769083229917,0.536541231730707,0.578418140053698,-0.0418769083229917,-0.0418769083229917,207433,0.00830509918954492
"8",130.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145087,17387.392412087,0.119841146429983,0.0956145035448181,0.0808059002358138,-0.0625467887124705,0.543173037354037,0.605719826066508,-0.0625467887124705,-0.0625467887124705,145087,0.00652959351292029
"16",216.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240854,28174.3753938778,0.116976987693282,0.0799126035855575,0.0954974750775367,-0.176060201344744,0.528222826810564,0.704283028155308,-0.176060201344744,-0.176060201344744,240854,0.00911976774618474
"15",212.860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236469,29316.5491307017,0.123976289199437,0.0849046387603376,0.0998922666748902,-0.062010569235576,0.522388317985237,0.584398887220813,-0.062010569235576,-0.062010569235576,236469,0.00997846494144739
"14",113.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125586,15826.476055826,0.12602102189596,0.092384879654043,0.0901499312046711,-0.0782971235853313,0.542193812723899,0.62049093630923,-0.0782971235853313,-0.0782971235853313,125586,0.00812701009620694
9a,97.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108060,15274.5768861816,0.141352738165663,0.105867018142532,0.0921662622211034,-0.0679336016035309,0.55774125453218,0.625674856135711,-0.0679336016035309,-0.0679336016035309,108060,0.00849461989180919
